ongoingReturn,Rank,ResponseId,gainAll,returnAll,pathseries,r,stg,p,a,c,path,portfolio,unrealized,PlayerName,riskRelative,risk,riskRelativeAvg,phase,gain,phaseReturn,wealthALL,Treatment,roundSeries,priceSeries,assetsSeries,ongoingReturnSeries,phaseWealth,GainCalc,realizedReturnCalc,currWealth,a_diff
0.0,5,CRRA_-1,,,1,0,0,250.0,10.0,0.0,path1,0.0,2500.0,Player 5,,,,regular,,,,,,,,,,0.0,,2500.0,10.0
0.0,4,CRRA_0,,,1,0,0,250.0,10.0,0.0,path1,0.0,2500.0,Player 4,,,,regular,,,,,,,,,,0.0,,2500.0,10.0
0.0,3,CRRA_1,,,1,0,0,250.0,0.0,2500.0,path1,0,0.0,Player 3,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,2,CRRA_3,,,1,0,0,250.0,0.0,2500.0,path1,0,0.0,Player 2,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,1,CRRA_6,,,1,0,0,250.0,0.0,2500.0,path1,0,0.0,Player 1,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
-6.000000000000005,5,CRRA_-1,,,1,1,0,235.0,10.0,0.0,path1,6.382978723404253,2500.0,Player 5,,,,regular,,,,,,,,,,-150.0,,2350.0,0.0
-6.000000000000005,4,CRRA_0,,,1,1,0,235.0,0.0,2350.0,path1,0,0,Player 4,,,,regular,,,,,,,,,,-150.0,,2350.0,-10.0
0.0,3,CRRA_1,,,1,1,0,235.0,0.0,2500.0,path1,0,0,Player 3,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,2,CRRA_3,,,1,1,0,235.0,0.0,2500.0,path1,0,0,Player 2,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,1,CRRA_6,,,1,1,0,235.0,0.0,2500.0,path1,0,0,Player 1,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
-7.9999999999999964,5,CRRA_-1,,,1,2,0,230.0,10.0,0.0,path1,8.695652173913038,2500.0,Player 5,,,,regular,,,,,,,,,,-200.0,,2300.0,0.0
-6.000000000000005,4,CRRA_0,,,1,2,0,230.0,0.0,2350.0,path1,0,0,Player 4,,,,regular,,,,,,,,,,-150.0,,2350.0,0.0
0.0,3,CRRA_1,,,1,2,0,230.0,0.0,2500.0,path1,0,0,Player 3,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,2,CRRA_3,,,1,2,0,230.0,0.0,2500.0,path1,0,0,Player 2,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,1,CRRA_6,,,1,2,0,230.0,0.0,2500.0,path1,0,0,Player 1,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
-4.0000000000000036,5,CRRA_-1,,,1,3,0,240.0,10.0,0.0,path1,4.166666666666674,2500.0,Player 5,,,,regular,,,,,,,,,,-100.0,,2400.0,0.0
